Opportunity ID,Account ID 18 Digits,Opportunity Owner,Amount (converted),Stage,Created Date,Close Date,Age,Lead Source,Employees,Industry,Market Segment,Reporting Manager,Territory,Month&Year,Created Month & Year
00606000012xvlM,00106000020ta8BAAQ,Director of Sales 1,4500,Closed Lost,5/14/2022,6/29/2022,46,Inbound,,Financial Services,,Director of Sales 1,APAC,Jun 2022,May 2022
00606000012x549,0010600001xDyVoAAK,AE 6,2442.4,Closed Lost,3/5/2022,6/29/2022,116,Inbound,,Financial Services,,Director of Sales 2,EMEA,Jun 2022,Mar 2022
00606000012bUDj,0010600001z6EAFAA2,AE 6,4274.2,Closed Lost,2/16/2022,6/29/2022,133,Inbound,,Apparel & Textile - Clothes,,Director of Sales 2,EMEA,Jun 2022,Feb 2022
00606000012xpZI,00106000020srlTAAQ,Director of Sales 1,11000,Closed Won,5/5/2022,6/29/2022,55,Inbound,206,Financial Services,Corporate,Director of Sales 1,APAC,Jun 2022,May 2022
00606000012xr1I,00106000020sza7AAA,AE 6,9769.6,Closed Won,5/6/2022,6/29/2022,54,Inbound,2485,Other Consumer Goods - Electronics,Corporate,Director of Sales 2,EMEA,Jun 2022,May 2022
00606000012xuuI,00106000020tR3TAAU,AE 6,1831.8,Closed Lost,5/12/2022,6/29/2022,48,Inbound,,Travel - Hospitality,,Director of Sales 2,EMEA,Jun 2022,May 2022
00606000012bCwz,0010600001z4SZbAAM,Partner Manager,,Closed Lost,1/20/2022,6/29/2022,160,Inbound,,Agencies / Consultancies / Software Providers - Marketing Agencies,,IC,Other,Jun 2022,Jan 2022
00606000012xWPq,0010600001xGwOCAA0,AE 6,3663.6,Closed Lost,4/16/2022,6/29/2022,74,Inbound,,Apparel & Textile,,Director of Sales 2,EMEA,Jun 2022,Apr 2022
00606000012yAap,0010600001xH7spAAC,Executive 1,17402.1,Closed Won,6/5/2022,6/30/2022,25,Outbound,567,Retail,Corporate,IC,Other,Jun 2022,Jun 2022
00606000012y2fG,00106000020uPdZAAU,AE 5,4274.2,Closed Lost,5/25/2022,6/30/2022,36,Inbound,,Healthcare - Pharmaceuticals,,Director of Sales 2,EMEA,Jun 2022,May 2022
00606000012yOND,00106000020vjlNAAQ,AE 5,1195.1,Closed Lost,6/10/2022,7/1/2022,21,Inbound,,Financial Services,,Director of Sales 2,EMEA,Jul 2022,Jun 2022
00606000012xyHy,00106000020tvAoAAI,Director of Sales 1,2000,Closed Lost,5/19/2022,7/1/2022,43,Outbound,,Financial Services,,Director of Sales 1,APAC,Jul 2022,May 2022
00606000012ydnH,00106000021e2WVAAY,AE 8,1195.1,Closed Lost,6/24/2022,7/2/2022,8,Inbound,,banking,,Director of Sales 3,AMER,Jul 2022,Jun 2022
006060000136Bnd,0010600001yM39GAAS,Director of Sales 1,20000,Closed Lost,3/4/2022,7/4/2022,122,Outbound,,Travel - Airline,,Director of Sales 1,APAC,Jul 2022,Mar 2022
00606000012y0Bd,00106000020u47gAAA,AE 8,1750,Closed Lost,5/20/2022,7/5/2022,46,Inbound,43,Financial Services,Growth,Director of Sales 3,AMER,Jul 2022,May 2022
00606000012yBkN,00106000020vM3BAAU,AE 8,1750,Closed Lost,6/7/2022,7/13/2022,36,Inbound,,Financial Services - Banking,,Director of Sales 3,AMER,Jul 2022,Jun 2022
00606000012xWZM,0010600001xGwojAAC,AE 4,4000,Closed Lost,4/16/2022,7/16/2022,91,Inbound,,Other,,Director of Sales 2,EMEA,Jul 2022,Apr 2022
00606000012xtUJ,00106000020tH1dAAE,AE 6,1195.1,Closed Lost,5/10/2022,7/19/2022,70,Inbound,,Mobility & Transportation,,Director of Sales 2,EMEA,Jul 2022,May 2022
00606000012xHWf,0011o00001vEQj9AAG,Director of Sales 1,3000,Closed Lost,3/25/2022,7/19/2022,116,Outbound,,,,Director of Sales 1,APAC,Jul 2022,Mar 2022
00606000012ybFD,00106000021dSWvAAM,AE 5,4182.85,Closed Lost,6/22/2022,7/23/2022,31,Inbound,,"health, wellness and fitness",,Director of Sales 2,EMEA,Jul 2022,Jun 2022
00606000012xpcC,00106000020sruzAAA,AE 4,3000,Closed Lost,5/5/2022,7/26/2022,82,Inbound,,,,Director of Sales 2,EMEA,Jul 2022,May 2022
00606000012y2VB,00106000020uP79AAE,AE 6,2390.2,Closed Lost,5/25/2022,7/27/2022,63,Inbound,,Agencies / Consultancies / Software Providers,,Director of Sales 2,EMEA,Jul 2022,May 2022
